Country, Variable, Unit, Symbol," ""1965"""," ""1970"""," ""1975"""," ""1980"""," ""1985"""," ""1995"""," ""2000"""," ""2002"""," ""2005"""," ""2007"""," ""2010"""," ""2012"""," ""2015"""," ""2017"""," ""2020"""
Azerbaijan, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , ,0.51,0.98,1.29,1.7,2.87,3.84,3.75,4.1,3.91,3.63
Azerbaijan, SDG 6.4.2. Water Stress, %, E, , , , , ,61.69,48.53,43.8,52.11,53.37,48.44,52.88,51.62,53.52,55.6
Bahamas, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , ,343.7,363.33,358.06,359.99,321.92,307.29,302.76,304.77,271.51
Bahrain, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,146.55, , , , , ,119.05, , 
Bahrain, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,131.47, ,140.34,133.57,129.91,124.4,120.74, ,124.74,124.74
Bahrain, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,297.29,335.01,314.14,407.42,513.54,577.9,654.64,846.5,950.53,954.78
Bahrain, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.46,0.5,0.53,0.39,0.41,0.5,0.5,0.66,0.63,0.61
Bahrain, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,61.96,57.35,57.91,58.43,58.2,60,56.38,67.29,71.48,68.62
Bahrain, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,41.15,43.82,45.64,53.1,59.16,63.96,65.59,71.81,76.41,74.73
Bahrain, SDG 6.4.2. Water Stress, %, E, , , , , ,205.29,248.91,220.61, , , , ,137.16, , 
Bahrain, SDG 6.4.2. Water Stress, %, I, , , , , , , , ,196.43,187.09,173.08,163.74, ,133.71,133.71
Bangladesh, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , , , , ,2.57,2.57,2.57,2.57,2.57
Bangladesh, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,31.02,32.92,34.85,37.95,38.31,44.44,50.52,64.45,76.68,101.52
Bangladesh, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , , , ,0.6,0.65,0.71,0.74,0.84
Bangladesh, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,13.85,14.49,15.28,16.83,18.79,21.69,24.57,30.45,34.02,41.58
