Country, Variable, Unit, Symbol," ""1965"""," ""1970"""," ""1975"""," ""1980"""," ""1985"""," ""1995"""," ""2000"""," ""2002"""," ""2005"""," ""2007"""," ""2010"""," ""2012"""," ""2015"""," ""2017"""," ""2020"""
Eritrea, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , ,5.74,7.52,7.52,7.52,7.52,7.52,7.52,7.52
Eritrea, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , , ,5.69,11.05,321.34,301.17,475.25,617.34,602.74,582.64,683.17
Eritrea, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Eritrea, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , ,16.49,20.53,27.94,29.07,27.19,36.82,35.18,33.82,39.67
Eritrea, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,3.33,2.62,2.06,2.09,2.28,3.04,2.93,2.82,3.31
Eritrea, SDG 6.4.2. Water Stress, %, E, , , , , , ,7.94,9.56,11.18,11.18,11.18,11.18,11.18,11.18,11.18
Estonia, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,0.06,0.28,0.23,0.1,0.06,0.03,0.03,0.04,0.03,0.04
Estonia, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,1.97,2.22,2.49,3.11,3.72,2.19,2.97,3.08,2.97,6.53
Estonia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.17,0.04,0.04,0.09,0.17,0.13,0.14,0.48,0.65,0.57
Estonia, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,70.05,103.85,122.73,164.83,198.08,204.52,220.18,248.93,268.59,274.75
Estonia, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,6.37,7.99,9.52,10.86,10.71,8.89,11.08,12.14,11.8,26.29
Estonia, SDG 6.4.2. Water Stress, %, E, , , , , ,14.7,15.13,15.3,18.03,19.85,19.94,17.65,17.48,19.32,9.23
Eswatini, Agricultural water withdrawal as % of total renewable water resources, %, E, , , ,13.97, , ,22.31, , , , , , , , 
Eswatini, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , ,16.05,20.22, ,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31
Eswatini, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , ,17.79,15.46,64.94,78.33,63.85,55.23,62.86,61.29,64.93,68.08,66.47,64.94
Eswatini, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , ,0.1,0.1,0.11,0.11,0.12,0.11,0.11,0.11
Eswatini, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , ,46.47,51.67,56.07,48.73,38.96,34.81,38.56,43.57,45.61,50.21,54.82,54.17
Eswatini, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , ,2.18,2.51,2.81,2.97,3.13,3.37,3.51,3.45
Eswatini, SDG 6.4.2. Water Stress, %, E, , , ,47.71,54.7,68.68,75.67,76.43,77.56,77.56,77.56,77.56,77.56,77.56,77.56
Ethiopia, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , , ,4.27,5.74, , , , , , 
Ethiopia, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , , , ,6.14,6.74,7.14,7.74,7.94,7.94
Ethiopia, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , , , ,94.59,45.36,54.93,63.07,79.32,193.49,332.13,400.01
Ethiopia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , ,0.07,0.07,0.09,0.1,0.13,0.13,0.14,0.18
Ethiopia, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , , ,23.86,11.42,14.14,19.98,23.1,32.15,34.31,42.27
Ethiopia, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , , , ,1.86,1.54,1.78,2.23,2.49,3.6,4.37,5.35
Ethiopia, SDG 6.4.2. Water Stress, %, E, , , , , , , ,17,24.04,25.54,27.78,29.27,31.51,32.26,32.26
Fiji, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,0.13,0.18,0.18,0.18, , , , , , 
Fiji, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , , , ,0.18,0.18,0.18,0.18,0.18,0.18
Fiji, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,64.34,60.62,63.59,60.2,57.96,65.65,62.5,66.24,72.27,70
Fiji, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , ,0.34,0.36,0.27,0.3,0.28,0.41,0.49
Fiji, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,125.14,98.57,98.7,97.13,96.63,98.56,95.74,105.55,112.95,91.39
Fiji, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , ,35.96,35.56,36.95,35.77,39.11,42.07,35.44
Fiji, SDG 6.4.2. Water Stress, %, E, , , , , ,0.22,0.29,0.29,0.3, , , , , , 
Fiji, SDG 6.4.2. Water Stress, %, I, , , , , , , , , ,0.3,0.3,0.3,0.3,0.3,0.3
Finland, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,0.05,0.05,0.05,0.05, , , , ,0.36,0.91
Finland, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , , , ,0.1,0.19,0.25,0.33, , 
Finland, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,19.24,30.8,30.89,33.63,39.42,31.79,29.45,30.21,36.16,26.48
Finland, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , , , ,0.32,0.18,0.09,0.05,0.02
Finland, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,211.5,265.9,288.81,317.25,341.89,360.27,367.33,372.24,387.74,310.03
Finland, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , ,84.25,91.58,86.13,84.91,83.3,91.03,59.43
Finland, SDG 6.4.2. Water Stress, %, E, ,7.83,8.42,8.77,9.49,6.13,6.96,9.84,14.13,14.55,11.52,9.5,6.46,5.45,7.11
France, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,2.31,2.03,2.23,1.86,1.44,1.38,1.52,1.39,1.51
France, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,1.89, , , , , , , , , 
France, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , ,13.16,14.58,17.66,17.39,16.48,18.38,18.46,18.88,19.11,20.51,19.13
France, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , ,1.15,1.25,1.68,1.71,1.48,1.72,1.93
France, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , ,149.51,201.13,239.12,247,266.55,291.48,298.1,319.73,338.71,338.54,333.66
France, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , ,58.03,65.65,71.92,74.77,76.39,82.09,80.61
France, SDG 6.4.2. Water Stress, %, E, , , ,27.11,30.54,29.66,28.63,28.32,29.28,27.13,25.02,24.57,24.61,23.59,23
Gabon, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,0.02, ,0.02, , , , , , 
Gabon, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,0.02, ,0.02, ,0.02,0.02,0.02,0.02,0.02,0.02
Gabon, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,407.11,473.28,391.93,439.3,434.41,429.55,517.14,479.49,462.47,409.2
Gabon, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.34,0.17,0.18,0.17,0.17,0.14,0.14,0.2,0.25,0.33
Gabon, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,63.01,46.91,52.68,39.04,42.77,45.21,47.19,70.14,78.54,91.09
Gabon, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , ,88.96,71.66,69.25,68.35,70.13,71.11,81.19,91.37,94.77,97.04
Gabon, SDG 6.4.2. Water Stress, %, E, , , , , ,0.35,0.43,0.46,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Gambia, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , ,0.27,0.43,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
Gambia, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , ,18.7,7.87,6.8,6.63,5.29,5.39,5.22,6.39,9.99,11.39,12.92
Gambia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.06,0.1,0.1,0.12,0.09,0.17,0.13,0.11,0.11,0.12
Gambia, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , ,66.64,21.89,18.4,17.34,13.86,16.13,16.66,17.76,17.95,19.63,21.64
Gambia, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,9,8.24,8.09,6.77,7.7,7.91,8.58,9.41,10.38,11.52
Gambia, SDG 6.4.2. Water Stress, %, E, , , , ,0.69,1.56,1.97,2.06,2.21,2.21,2.21,2.21,2.21,2.21,2.21
Georgia, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,2.71,2.19,1.98,1.67,1.67,1.43,1.19,0.83,0.77,1.12
Georgia, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,1.07,4.5,3.87,3.81,4.14,4.52,7.45,11.03,13.66,9.35
Georgia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.42,0.25,0.33,0.47,0.36,0.29,0.34,0.4,0.36,0.44
Georgia, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,3.77,11.92,12.45,14.51,18.88,15.43,13.24,11.12,14.91,16.81
Georgia, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,1.19,2.73,3.08,3.98,4.85,5.47,6.51,7.63,9.57,8.27
Georgia, SDG 6.4.2. Water Stress, %, E, , , , , ,8.77,6.24,6.11,5.91,5.93,5.75,5.56,5.27,4.48,5.39
Germany, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,0.5,0.2, , ,0.17,0.21, , , , 
Germany, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , ,0.19,0.17, , ,0.24,0.26,0.26,0.26
Germany, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,19.28,21.69,22.06,24.09,28.74,27.08,36.39,45.76,49.28,45.66
Germany, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , , ,3.61,4.12,3.97,3.77,4.94,4.65
Germany, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,139.42,158.64,169.35,180.53,184.52,189.09,197.43,208.09,217.92,219.07
Germany, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , , ,73.52,72.22,88.25,103.78,110.23,108.4
Germany, SDG 6.4.2. Water Stress, %, E, , , , , ,66.93,61.52,58.63,51.78,44.22,45.22,38.21,33.91,33.5,33.5
Ghana, Agricultural water withdrawal as % of total renewable water resources, %, E, ,0.28, , , , ,1.16, , , , , , , , 
Ghana, Agricultural water withdrawal as % of total renewable water resources, %, I, , ,0.42,0.57,0.72,1.01, ,1.25,1.39,1.49,1.63,1.72,1.86,1.9,1.9
Ghana, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, ,77.97,80.19,39.4,47.73,60,66.83,72.95,83.28,85.45,88.18,159,150.73,161.19,186.26
Ghana, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.02,0.07,0.09,0.13,0.13,0.18,0.18,0.19,0.2,0.23
Ghana, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, ,36.59,29.4,20.18,22.42,27.73,33.8,37.37,43.72,47.95,60.09,68.79,71.84,85.97,99.42
Ghana, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,12.75,14.6,15.29,16.56,16.92,18.56,24.95,25.05,28.19,32.58
Ghana, SDG 6.4.2. Water Stress, %, E, ,1.31,1.8,2.3,2.79,3.79,4.28,4.52,4.87,5.11,5.46,5.73,6.27,6.31,6.31
Greece, Agricultural water withdrawal as % of total renewable water resources, %, E, ,3.55,5.23,6.16,6.73,11.11,13.26,12.31,12.72,12.37, ,12.11,12.11,11.85, 
Greece, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , , , , ,12.17, , , ,11.85
Greece, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , ,268.08,279.77,140.32,117.98,138.93,153.72,417.02,125,167.65,175.45,167.09,56.87,61.49
Greece, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.69,0.52,0.6,0.58,0.46,0.35,0.37,0.42,0.43,0.42
Greece, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , ,137.83,135.45,146.91,136.69,157.86,170.31,198.49,219.53,147.98,96.65,96.21,85.81,79.82
Greece, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , , ,17.09,20.36,22.1,23.92,21.4,17.38,17.03,16.54,15.63
Greece, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,18.75, , , , , , , , , 
Greece, SDG 6.4.2. Water Stress, %, E, ,8.61,8.65,10.18,11.1,15.75,18.24,18.69,19.51,19.46,19.94,20.1,20.04,20.5,20.48
Grenada, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , ,1.09,1.09,1.08,1.07,1.06,1.06,1.05,1.05,1.05
Grenada, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , , , ,1.88,2.01,3.64,2.85,2.36
Grenada, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , , , , , , , , ,58.2,62.75,57.25
Grenada, SDG 6.4.2. Water Stress, %, E, , , , , , , , ,5, , , , , , 
Grenada, SDG 6.4.2. Water Stress, %, I, , , , , , , , , ,5.46,6.14,6.59,7.05,7.05,7.05
Guatemala, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,1.05,1.13,1.22,1.41,1.47,1.47,1.47,1.47,1.47,1.47
Guatemala, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,21.71,17.25,15.86,14.9,16.29,16.89,18.72,21,21.41,22.73
Guatemala, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , ,0.7,0.67,0.71,0.73,0.75,0.82,0.84,0.94
Guatemala, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,77.63,50.96,41.36,34.2,35.37,39.13,41.65,47.53,51.04,53.51
Guatemala, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , ,12.34,11.45,12.24,13.31,14.28,16.21,17.18,18.1
Guatemala, SDG 6.4.2. Water Stress, %, E, , , , , , , ,4.5,5.43,5.74,5.74,5.74,5.74,5.74,5.74
Guinea, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,0.2,0.14,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.27
Guinea, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,29.44,30.2,32.37,36.25,34.22,38.1,41.72,38.21,55.84,70.44
Guinea, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.19,0.05,0.03,0.03,0.03,0.03,0.03,0.04,0.05
Guinea, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,13.92,11.2,10.78,13.46,13.83,14.07,15.33,18.36,18.88,21.99
Guinea, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,6.86,7.02,7.85,7.42,7.3,7.63,7.77,8.83,10.47
Guinea, SDG 6.4.2. Water Stress, %, E, , , , , ,0.99,0.89,0.86,0.88,0.96,1.07,1.14,1.26,1.33,1.37
Guinea-Bissau, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,0.46, , , , , , , , 
Guinea-Bissau, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,0.37, ,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
Guinea-Bissau, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,9.66,12.14,11.52,8.81,8.62,9.43,10.33,10.25,11.86,14.32
Guinea-Bissau, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.17,0.07,0.08,0.08,0.09,0.1,0.11,0.12,0.15,0.11
Guinea-Bissau, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,10.91,12.54,9.87,8.75,9.83,10.43,10.72,11.38,11.51,20.6
Guinea-Bissau, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,2.13,2.27,2.16,2.19,2.37,2.54,2.66,2.78,2.92,4.67
Guinea-Bissau, SDG 6.4.2. Water Stress, %, E, , , , , ,1.22,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Guyana, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,0.59, , , ,0.5, , , , 
Guyana, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,0.55, ,0.57,0.55,0.53, ,0.5,0.5,0.5,0.5
Guyana, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,55.01,49.44,38.45,27.94,37.08,42.54,51.02,47.88,56.13,135.53
Guyana, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , , , ,0.41,0.3,0.1,0.01,0.01
Guyana, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,21.1,21.89,17.4,16.57,22.42,25.33,28.8,32.12,34.35,47.14
Guyana, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , , , ,2.07,2.22,2.13,2.26,3.92
Guyana, SDG 6.4.2. Water Stress, %, E, , , , , ,3.49,3.74,3.67,3.57,3.46,3.3,3.3,3.3,3.3,3.3
Haiti, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,8.34, , , , , , , , , 
Haiti, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , ,8.44,8.48,8.54,8.58,8.62,8.62,8.62,8.62,8.62
Haiti, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,454.79,101.25,77.24,64.14,61.92,51.15,60.23,68.1,65.94,63.94
Haiti, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.16,0.21,0.2,0.25,0.29,0.31,0.27,0.24,0.27,0.29
Haiti, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,35.35,43.86,40.59,35.97,35.5,35.48,36.64,40.49,43.18,41.45
Haiti, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,4.83,6.32,6.21,6.23,6.62,6.71,7.15,7.9,8.21,7.92
Haiti, SDG 6.4.2. Water Stress, %, E, , , , , ,11.86,12.4,12.62,12.95,13.17,13.38,13.38,13.38,13.38,13.38
Honduras, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,1.37,1.31,1.29,1.28,1.28,1.28,1.28,1.28,1.28,1.28
Honduras, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,29.58,30.49,28.86,32.21,36.81,36.36,41.26,42.7,47.39,43
Honduras, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , ,0.14,0.15,0.17,0.22,0.21,0.24,0.23
Honduras, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,38.61,25.52,24.36,27.11,31.53,35.12,36.37,40.81,43.34,43.78
Honduras, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , ,7.7,8.9,9.59,10.21,11.19,12.04,11.8
Honduras, SDG 6.4.2. Water Stress, %, E, , , , , , , , ,4.62,4.62,4.62,4.62,4.62,4.62,4.62
Hungary, Agricultural water withdrawal as % of total renewable water resources, %, E, ,0.64,0.86,1.04,2.2, ,0.69,0.65,0.3, , ,0.31,0.53,0.48,0.53
Hungary, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,0.56, , , ,0.3,0.3, , , , 
Hungary, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, ,11.2,12.35,9.68,8.44,3.73,4.94,5.64,6.29,6.2,5.86,6.21,9.47,9.09,9.08
Hungary, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.15,0.28,0.37,0.43,0.4,0.65,0.34,0.4,0.43
Hungary, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, ,30.4,37.5,32.41,61.68,50.01,61.73,70.6,79.96,88.41,91.05,92.79,117.22,124.3,125.27
Hungary, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , , , , , , , ,18.13,23.42,24.2,24.46
Hungary, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,12.4,14.44,17.03,17.55,17.61, , , , 
Hungary, SDG 6.4.2. Water Stress, %, E, ,5.15,6.85,8.3,10.97,10.87,10.09,9.95,9.66,9.48,9.27,8.72,6.96,8.18,8.07
Iceland, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,0.04,0.04, , , , , , , 
Iceland, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,0.04, , ,0.03,0.02, , , , , 
Iceland, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , ,187.73,194.96,174.11,167.46,167.93,62.55,29.29,14.75,12.46,13.86,15.28,15.57
Iceland, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , , , , , ,0.91,0.72,0.83
Iceland, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , ,34.8,41.93,62.62,90.38,95.52,112.13,130.69,116.45,112.96,150.94,168.63,170.77
Iceland, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , , , , , , , , ,53.25,59.34,60.17
Iceland, SDG 6.4.2. Water Stress, %, E, , , ,0.15,0.15,0.22,0.22,0.22,0.25,0.29,0.36,0.4,0.38,0.39,0.39
India, Agricultural water withdrawal as % of total renewable water resources, %, E, , ,18.49,21.54,24.6, ,29.22, , , ,36, , , , 
India, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,26.65, ,30.58,32.61,33.97, ,36,36,36,36
India, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , ,3.25,4.91,8.52,12.29,19.5,18.8,22.53,25.06,26.38,27.87,31.46,35.05,34.92
India, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , ,0.1,0.1,0.11,0.17,0.19,0.19,0.17,0.22,0.27,0.31,0.37,0.43,0.44
India, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , ,6.97,6.57,7.48,7.17,8.37,9.01,10.65,11.58,13.2,15.06,19.25,22.23,23.28
India, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , ,0.43,0.45,0.53,0.87,1.07,1.13,1.36,1.56,1.81,2.01,2.45,2.81,2.89
India, SDG 6.4.2. Water Stress, %, E, , ,39.02,45.01,51.01,57.01,62.68,65.78,64.59,65.35,66.49,66.49,66.49,66.49,66.49
Indonesia, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,4.6, , , , , , , , 
Indonesia, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,4.01, ,5.24,6.22,6.87,7.84,8.49,9.27,9.4,9.4
Indonesia, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,36.61,21.89,11.76,8.31,10.61,15.56,21.25,31.71,39.64,41.65
Indonesia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , ,0.21,0.22,0.25,0.25,0.27,0.29,0.33
Indonesia, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,20.63,12.94,14.43,16.25,15.73,14.91,15.39,16.73,17.91,19.7
Indonesia, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , , ,2.79,2.9,3.03,3.24,3.49,3.79,4.09
Indonesia, SDG 6.4.2. Water Stress, %, E, , , , , ,12.51,15.11,16.93,19.67,21.49,24.23,26.05,28.78,29.7,29.7
Iran (Islamic Republic of), Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,55.46,60.56, , , , , , , , 
Iran (Islamic Republic of), Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , ,61.66,62.75,62.75,62.75,62.75,62.75,62.75,62.75
Iran (Islamic Republic of), SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,78.03,92.69,110.79,135.5,153.49,154.89,142.41,108.04,140.64,111.01
Iran (Islamic Republic of), SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.22,0.17,0.17,0.15,0.16,0.15,0.17,0.25,0.26,0.34
Iran (Islamic Republic of), SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,17.57,28.92,24.91,26.12,29.68,35.17,35.83,39.62,40.43,36.15
Iran (Islamic Republic of), SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,2.41,2.68,2.9,3.47,3.93,4.3,4.22,4.14,4.59,4.02
Iran (Islamic Republic of), SDG 6.4.2. Water Stress, %, E, , ,39.35,45.44,51.52,72.58,77.39,79.41,81.29,81.29,81.29,81.29,81.29,81.29,81.29
Iraq, Agricultural water withdrawal as % of total renewable water resources, %, E, , ,43.99,44.26,44.51,50.85,57.87, , , , , ,35.56,42.09,49.22
Iraq, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , ,55.42,51.75,49.3,45.63,43.18, , , 
Iraq, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , ,64.1,186.42,143.21,4.56,7.29,6.62,8.46,10.16,15.24,27.27,37.92,19.15,11.57
Iraq, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.07,0.05,0.08,0.09,0.07,0.1,0.1,0.14,0.09,0.14
Iraq, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , ,20.45,24.78,31.64,3.21,2.13,3.59,8.98,13.12,23.18,32.15,81.58,80.94,14.4
Iraq, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,0.72,1.25,1.21,1.63,1.89,2.51,3.35,4.74,4.33,2.98
Iraq, SDG 6.4.2. Water Stress, %, E, , ,56.97,57.3,57.61,76.4,92.69,87.47,79.64,74.42,66.6,61.37,49.02,60.48,79.51
Ireland, Agricultural water withdrawal as % of total renewable water resources, %, E, ,0.34, ,0.25, , , , , , , , , , ,0.07
Ireland, Agricultural water withdrawal as % of total renewable water resources, %, I, , ,0.3, ,0.28,0.33,0.27,0.25,0.22,0.19,0.16,0.14,0.1,0.08, 
Ireland, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , ,29.93,31.14,54.79,154.29,252.88,471.33,1190.06,252.5,180.11,278.83,240.13,278.15
Ireland, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.09,0.05, , , , , , , 
Ireland, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , ,75.02,84.22,121.36,162.46,162.6,149.69,204.12,217.12,226.18,255.9,226.13,223.21
Ireland, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,136.82,162.46,222.98,273,204.45,197.03,251.6,224.19,236.17
